key	building	unit	XP	conditions	faction	enabled
#building_units_allowed_tables;4;db/building_units_allowed_tables/vco						
852189347	wh2_main_def_pleasure_cult_5	wh3_main_sla_mon_fiends_of_slaanesh_0	0	0	wh2_main_def_cult_of_pleasure	true
834926571	wh2_main_def_pleasure_cult_5	wh3_main_sla_mon_keeper_of_secrets_0	0	0	wh2_main_def_cult_of_pleasure	true
111926573	wh_main_nor_settlement_major_3	wh3_main_kho_inf_bloodletters_0	0	0	wh_dlc08_nor_norsca	true
111926574	wh_main_nor_settlement_major_3	wh3_main_nur_inf_plaguebearers_0	0	0	wh_dlc08_nor_norsca	true
111926576	wh_main_nor_settlement_major_3	wh3_main_sla_inf_daemonette_0	0	0	wh_dlc08_nor_norsca	true
111926575	wh_main_nor_settlement_major_3	wh3_main_tze_inf_pink_horrors_0	0	0	wh_dlc08_nor_norsca	true
111926577	wh_main_nor_settlement_major_4	wh3_main_kho_inf_bloodletters_0	0	0	wh_dlc08_nor_norsca	true
111926581	wh_main_nor_settlement_major_4	wh3_main_kho_inf_bloodletters_1	0	0	wh_dlc08_nor_norsca	true
111926578	wh_main_nor_settlement_major_4	wh3_main_nur_inf_plaguebearers_0	0	0	wh_dlc08_nor_norsca	true
111926582	wh_main_nor_settlement_major_4	wh3_main_nur_inf_plaguebearers_1	0	0	wh_dlc08_nor_norsca	true
111926580	wh_main_nor_settlement_major_4	wh3_main_sla_inf_daemonette_0	0	0	wh_dlc08_nor_norsca	true
111926584	wh_main_nor_settlement_major_4	wh3_main_sla_inf_daemonette_1	0	0	wh_dlc08_nor_norsca	true
111926579	wh_main_nor_settlement_major_4	wh3_main_tze_inf_pink_horrors_0	0	0	wh_dlc08_nor_norsca	true
111926583	wh_main_nor_settlement_major_4	wh3_main_tze_inf_pink_horrors_1	0	0	wh_dlc08_nor_norsca	true
111926585	wh_main_nor_settlement_major_5	wh3_main_kho_inf_bloodletters_0	0	0	wh_dlc08_nor_norsca	true
111926589	wh_main_nor_settlement_major_5	wh3_main_kho_inf_bloodletters_1	0	0	wh_dlc08_nor_norsca	true
111926586	wh_main_nor_settlement_major_5	wh3_main_nur_inf_plaguebearers_0	0	0	wh_dlc08_nor_norsca	true
111926590	wh_main_nor_settlement_major_5	wh3_main_nur_inf_plaguebearers_1	0	0	wh_dlc08_nor_norsca	true
111926588	wh_main_nor_settlement_major_5	wh3_main_sla_inf_daemonette_0	0	0	wh_dlc08_nor_norsca	true
111926592	wh_main_nor_settlement_major_5	wh3_main_sla_inf_daemonette_1	0	0	wh_dlc08_nor_norsca	true
111926587	wh_main_nor_settlement_major_5	wh3_main_tze_inf_pink_horrors_0	0	0	wh_dlc08_nor_norsca	true
111926591	wh_main_nor_settlement_major_5	wh3_main_tze_inf_pink_horrors_1	0	0	wh_dlc08_nor_norsca	true
