army_name	ai_army_tactic	approach_angle	army_emblem	army_model	deployment_zone_id	faction	is_allied_to_player	is_reinforcement_army	is_frontend_player_army	use_default_deployment_zones	is_hidden_army	should_merge_army	reinforcement_is_support	override_uniform_colours	uniform_colour_primary_override	uniform_colour_secondary_override	uniform_colour_tertiary_override	override_banner_colours	banner_colour_primary_override	banner_colour_secondary_override	banner_colour_tertiary_override	flag_path	is_primary_army
#battle_set_piece_armies_tables;1;db/battle_set_piece_armies_tables/vco																							
vco_custom_quest_alarielle_ariel_ally_army_durthu		0	test_emblem_army_01	5514	0	wh_dlc05_wef_argwylon	true	false	false	true	false	false	false	false	000000	000000	000000	false	000000	000000	000000		false
vco_custom_quest_alarielle_ariel_ally_army_twilight		180	test_emblem_army_01	887768907	0	wh2_dlc16_wef_sisters_of_twilight	true	true	false	true	true	false	false	false	000000	000000	000000	false	000000	000000	000000		false
vco_custom_quest_alarielle_ariel_enemy_army_ariel		0	test_emblem_army_01	1879434137	0	wh2_dlc16_wef_wood_elves_qb6	false	false	false	true	false	false	false	false	000000	000000	000000	false	000000	000000	000000		false
vco_custom_quest_alarielle_ariel_enemy_army_orion		0	test_emblem_army_01	4077	0	wh_dlc05_wef_wood_elves	false	true	false	true	true	false	false	false	000000	000000	000000	false	000000	000000	000000		false
vco_custom_quest_alarielle_ariel_enemy_army_slaanesh		90	test_emblem_army_01	111488423	0	wh3_main_sla_seducers_of_slaanesh	false	true	false	true	true	false	false	false	000000	000000	000000	false	000000	000000	000000		false
vco_custom_quest_alarielle_hellebron_enemy_army_def_crones		0	test_emblem_army_01	959439574	0	wh2_main_def_har_ganeth	false	false	false	true	false	false	false	false	000000	000000	000000	false	000000	000000	000000		false
vco_custom_quest_alarielle_hellebron_enemy_army_kho_valkia		30	test_emblem_army_01	2142344717	0	wh3_dlc20_chs_valkia	false	true	false	true	true	false	false	false	000000	000000	000000	false	000000	000000	000000		false
vco_custom_quest_belegar_skavenblight_ally_thorgrim		45	test_emblem_army_01	3297	0	wh_main_dwf_dwarfs	true	false	false	true	false	false	false	false	000000	000000	000000	false	000000	000000	000000		false
vco_custom_quest_belegar_skavenblight_ally_ungrim		225	test_emblem_army_01	3947	0	wh_main_dwf_karak_kadrin	true	true	false	true	true	false	false	false	000000	000000	000000	false	000000	000000	000000		false
vco_custom_quest_belegar_skavenblight_enemy_ikit		0	test_emblem_army_01	686217051	0	wh2_main_skv_clan_skryre	false	false	false	true	false	false	false	false	000000	000000	000000	false	000000	000000	000000		false
vco_custom_quest_belegar_skavenblight_enemy_ikit_2		0	test_emblem_army_01	1721108995	0	wh2_main_skv_clan_eshin	false	false	false	true	false	false	false	false	000000	000000	000000	false	000000	000000	000000		false
vco_custom_quest_eight_peaks_enemy_belegar		0	test_emblem_army_01	5213	0	wh_main_dwf_karak_izor	false	false	false	true	false	false	false	false	000000	000000	000000	false	000000	000000	000000		false
vco_custom_quest_eight_peaks_enemy_belegar_queek		0	test_emblem_army_01	5213	0	wh_main_dwf_karak_izor	false	false	false	true	false	false	false	false	000000	000000	000000	false	000000	000000	000000		false
